"Sign In", "Entrar"
"Get %1 off your first order. Use coupon %2","Ganhe %1 de desconto no seu primeiro pedido. Utilize o cupom %2"
"Search entire store here...","Digite aqui o que você procura"
"Registrar", "Criar Conta"
"Enter your name", "Digite seu nome"
"Register", "Cadastrar"
"Register in our", "Cadastre-se na nossa"
"I agree with the", "Estou de acordo com a"
"Shopping Options","Filtros"
"We found no results for", "Nenhum resultado encontrado para"
"What should i do?", "O que devo fazer?"
"Check the terms you entered", "Verifique os termos que você digitou"
"Use synonyms for the desired term", "Use sinônimos para o termo desejado"
"Try using a single word", "Tente usar uma única palavra"
"Use generic terms in the search", "Use termos genéricos na busca"
"Search results for", "Resultado de busca por"
"Add to Cart", "Comprar"
"Link copied!", "Link copiado!"
"Size", "Tamanho"
"Color", "Cor"
"Calculate shipping", "Frete e prazo de entrega"
"Estimate", "Calcular"
"Enter your ZIP code", "Digite seu CEP"
"details", "Detalhes"
"More information", "Mais informações"
"Forgot my ZIP code", "Não sei meu CEP"
"Product and postcode are required.", "Produto e CEP são obrigatórios."
"Error estimating shipping: ", "Erro ao calcular o frete: "
"SKU","Cód"
"SKU:","Cód:"
"SKU#:","Cód:"
"Proceed to Checkout", "Finalizar pedido"


"Activity","Atividade"
"Style","Estilo"
"Material","Material"
"Strap/Handle","Alça"
"Performance Fabric","Tecido de Alta Performance"
"Erin Recommends","Recomendado por Erin"
"Climate","Clima"
"All-Weather","Todas as condições climáticas"
"Cold","Frio"
"Cool","Fresco"
"Indoor","Ambiente interno"
"Mild","Ameno"
"Rainy","Chuvoso"
"Spring","Primavera"
"Warm","Quente"
"Windy","Ventoso"
"Wintry","Invernal"
"Pattern","Estampa"
"Color-Blocked","Blocos de cor"
"Solid","Liso"
"solid","Liso"
"Eco Collection","Coleção Sustentável"
"Men","Masculino"
"Women","Feminino"
"Unisex","Unissex"
"Electronic","Eletrônico"
"Exercise","Exercício"
"Fashion","Moda"
"Timepiece","Relógio"
"Leather","Couro"
"Metal","Metal"
"Plastic","Plástico"
"Rubber","Borracha"
"Stainless Steel","Aço Inoxidável"
"Outdoor","Ao ar livre"
"Recreation","Recreação"
"Gym","Academia"
"Athletic","Atlético"
"Sports","Esportes"
"Cocona® Performance Fabric","Tecido de performance Cocona®"
"Cotton","Algodão"
"Mesh","Malha"
"Polyester","Poliéster"
"Spandex","Elastano"
"CoolTech™","CoolTech™"
"Wool","Lã"
"Insulated","Isolado"
"Jacket","Jaqueta"
"Lightweight","Leve"
"Hooded","Com capuz"
"Heavy Duty","Alta resistência"
"Rain Coat","Capa de chuva"
"Hard Shell","Hard Shell"
"Soft Shell","Soft Shell"
"Windbreaker","Corta-vento"
"zip","Zíper"
"Full Zip","Zíper completo"
"Reversible","Dupla face"
"Pullover","Pulôver"
